road_label,acc_mean,acc_std,acc_rms,z_max,z_min,z_peak_to_peak,speed_mean,speed_std
rough,16350.192024362754,5057.179024248358,17106.960230268847,26464,1956,24508,9.615600000000002,0.5667955646626148
rough,17272.25362569636,5324.251811583516,18066.403241652722,32767,4564,28203,10.1921,1.1907312879067218
rough,17067.09164853234,4993.645799848144,17775.622372507805,32767,4660,28107,9.8823,1.7798029938646849
rough,16242.992257381671,3056.953174940168,16525.323311814507,26816,4660,22156,6.624399999999998,2.9488694358168774
rough,16054.828317558475,1852.2284950025894,16160.258512783761,22720,10800,11920,5.6626,2.0000260705371526
rough,15756.05529826098,2599.574479192842,15966.949870278919,20716,7364,13352,7.996299999999999,1.2361684490163276
rough,16021.888893929441,3165.3349082513214,16328.504994640509,20884,7364,13520,9.311699999999998,0.9500505621844929
rough,16176.473846422792,4057.157941418552,16672.559232463384,26608,2972,23636,9.976500000000003,1.0824582712931292
rough,16020.428710983277,4412.397529219381,16611.101574549473,26608,2972,23636,10.292999999999997,0.9205669092159647
rough,16311.569271318762,3827.6091631761396,16750.265015216923,23984,4280,19704,10.141399999999999,0.7013522580693596
rough,16655.661238324832,3992.60999091562,17122.867063666647,24784,5156,19628,10.811500000000002,1.9944434807684568
rough,16465.772933022337,4156.632878547152,16977.234733607238,26228,5156,21072,12.603799999999996,2.789228842413891
rough,16201.076715464022,3466.2666406219355,16564.11003102793,26228,7800,18428,12.155700000000001,2.4367117497798447
rough,16471.52665190174,3977.7397769362447,16940.347689466114,30196,-2400,32596,11.514399999999997,1.2058697519159602
rough,16528.468070375893,4046.1337034290877,17011.694293044417,30196,-2400,32596,14.033999999999999,3.3168193965139117
rough,16261.414231936142,3803.0991266407013,16695.883329731314,26888,6164,20724,15.792199999999998,2.9669559205258564
rough,15994.651178260234,4120.675094952306,16511.78457708312,26888,2660,24228,14.449399999999995,2.399858085029786
rough,15792.581722731646,4421.587243097846,16393.91859440567,26080,2660,23420,13.2426,1.7064924271851907
rough,15916.596030343208,4625.221423786469,16568.547784280916,26080,3452,22628,14.935300000000002,2.71283051517053
rough,15946.59697420797,4238.899817024337,16494.924795221104,25868,6900,18968,16.254499999999997,2.595144407340272
rough,16269.042398112255,3710.640023263946,16682.712652323662,25868,8508,17360,13.871299999999998,3.2705337824615452
rough,16454.50193646219,3900.852341846695,16906.06744574267,25276,3576,21700,11.4385,2.1900114731492284
rough,16206.687663251132,4653.938237341956,16855.24472441738,26176,3072,23104,10.5645,1.414403807727175
rough,16595.196675464467,4850.295065756529,17282.669391618878,32767,3072,29695,11.648400000000002,2.59310379914328
rough,16627.29412540041,4624.173549684414,17252.13207519581,32767,-1732,34499,14.599399999999997,3.552273655169619
rough,16364.410376603451,4260.997491472701,16904.68768123209,25912,-1732,27644,14.322199999999995,3.5649980747157874
rough,16046.95265116658,4052.4136380877376,16545.77061124685,23960,4964,18996,15.538000000000002,3.3367255466605843
rough,16023.784859698826,4024.5590975137175,16516.56097376206,24272,6956,17316,18.407499999999995,1.3157732872475958
rough,16289.8403573451,3979.051063491084,16764.051352820414,24728,4976,19752,14.5173,4.805124338567204
rough,16752.02206131619,4037.029618241755,17226.8649266197,25848,4976,20872,12.9892,3.6460516017780495
rough,16998.376000856908,3981.879974941516,17453.985250366175,25848,7224,18624,15.207199999999998,1.3830460307713277
rough,16987.259083422818,3784.8260401517873,17399.673279691204,29444,8512,20932,12.344500000000004,3.741510896399848
rough,16555.57404201306,3763.2494635181956,16973.728462538806,29444,6772,22672,10.694600000000001,4.439422207377164
rough,15983.361044005957,4533.462687208957,16607.666644053283,24208,5152,19056,14.877199999999998,5.048967507212627
rough,16470.391513496383,5284.3658595447005,17289.27626941047,26120,-8864,34984,18.1462,2.937480807588281
rough,16699.680299161704,4795.4205918056305,17367.942312202675,32340,-8864,41204,16.2624,5.508765855663612
